emoji,english,arabic
😀,Grinning Face,مبتسما الوجه
😃,Grinning Face With Big Eyes,مبتسما الوجه مع عيون كبيرة
😄,Grinning Face With Smiling Eyes,مبتسما الوجه المبتسم مع عيون
😁,Beaming Face With Smiling Eyes,مبتهجا الوجه المبتسم مع عيون
😆,Grinning Squinting Face,مبتسما التحديق الوجه
😅,Grinning Face With Sweat,مبتسما الوجه وعرق
🤣,Rolling on the Floor Laughing,يتدحرج على الارض من الضحك
😂,Face With Tears of Joy,وجه مع دموع الفرح
🙂,Slightly Smiling Face,يبتسم قليلا الوجه
🙃,Upside-Down Face,الوجه رأسا على عقب
😉,Winking Face,الغمز الوجه
😊,Smiling Face With Smiling Eyes,الوجه المبتسم مع يبتسم عيون
😇,Smiling Face With Halo,الوجه المبتسم مع هالة
🥰,Smiling Face With Hearts,الوجه المبتسم مع قلوب
😍,Smiling Face With Heart-Eyes,الوجه المبتسم مع قلب عيون
🤩,Star-Struck,ضربها نجوم
😘,Face Blowing a Kiss,مواجهة تهب قبلة
😗,Kissing Face,تقبيل الوجه
☺,Smiling Face,الوجه المبتسم
😚,Kissing Face With Closed Eyes,تقبيل الوجه مع عيون مغلقة
😙,Kissing Face With Smiling Eyes,تقبيل الوجه المبتسم مع عيون
😋,Face Savoring Food,وجه يتذوق الطعام
😛,Face With Tongue,وجه مع اللسان
😜,Winking Face With Tongue,الغمز الوجه واللسان
🤪,Zany Face,وجه مهرج
😝,Squinting Face With Tongue,التحديق الوجه واللسان
🤑,Money-Mouth Face,المال الفم الوجه
🤗,Hugging Face,تعانق وجه
🤭,Face With Hand Over Mouth,وجه مع تسليم الفم
🤫,Shushing Face,Shushing الوجه
🤔,Thinking Face,التفكير الوجه
🤐,Zipper-Mouth Face,الوجه زيبر القلاعية
🤨,Face With Raised Eyebrow,مواجهة مع الحاجبين
😐,Neutral Face,وجه محايد
😑,Expressionless Face,الوجه التعابير
😶,Face Without Mouth,وجه بدون فم
😏,Smirking Face,سميركينج الوجه
😒,Unamused Face,وجه غير مستمتع
🙄,Face With Rolling Eyes,وجه مع المتداول عيون
😬,Grimacing Face,مقطبا الوجه
🤥,Lying Face,الكذب الوجه
😌,Relieved Face,الوجه بالارتياح
😔,Pensive Face,وجه متأمل
😪,Sleepy Face,وجه نائم
🤤,Drooling Face,سيلان اللعاب الوجه
😴,Sleeping Face,النوم الوجه
😷,Face With Medical Mask,وجه وقناع الطبية
🤒,Face With Thermometer,وجه مع ميزان الحرارة
🤕,Face With Head-Bandage,وجه والرأس ضمادة
🤢,Nauseated Face,الوجه بالغثيان
🤮,Face Vomiting,وجه القيء
🤧,Sneezing Face,العطس الوجه
🥵,Hot Face,مواجهة ساخنة
🥶,Cold Face,الوجه البارد
🥴,Woozy Face,وجه مشوش الذهن
😵,Dizzy Face,الوجه بالدوار
🤯,Exploding Head,انفجار الرأس
🤠,Cowboy Hat Face,رعاة البقر القبعة الوجه
🥳,Partying Face,الحفلات الوجه
😎,Smiling Face With Sunglasses,الوجه المبتسم مع النظارات الشمسية
🤓,Nerd Face,الطالب الذي يذاكر كثيرا الوجه
🧐,Face With Monocle,وجه مع مونوكل
😕,Confused Face,الوجه الخلط
😟,Worried Face,الوجه قلق
🙁,Slightly Frowning Face,مقطب الوجه قليلا
☹,Frowning Face,مقطب الوجه
😮,Face With Open Mouth,وجه بفم مفتوح
😯,Hushed Face,الوجه المسكوت
😲,Astonished Face,الوجه دهش
😳,Flushed Face,وجه متوهج
🥺,Pleading Face,المرافعة الوجه
😦,Frowning Face With Open Mouth,مقطب الوجه والفم المفتوح
😧,Anguished Face,الوجه المؤلم
😨,Fearful Face,وجه مخيف
😰,Anxious Face With Sweat,الوجه حريصة مع العرق
😥,Sad but Relieved Face,وجه حزين ولكن بالارتياح
😢,Crying Face,البكاء الوجه
😭,Loudly Crying Face,البكاء بصوت عال الوجه
😱,Face Screaming in Fear,مواجهة صراخ في الخوف
😖,Confounded Face,وجه مرتبك
😣,Persevering Face,المثابرة الوجه
😞,Disappointed Face,الوجه بخيبة أمل
😓,Downcast Face With Sweat,الوجه مسبل مع العرق
😩,Weary Face,الوجه المتعب
😫,Tired Face,وجه متعب
😤,Face With Steam From Nose,الوجه مع البخار من الأنف
😡,Pouting Face,العبوس الوجه
😠,Angry Face,وجه غاضب
🤬,Face With Symbols on Mouth,وجه مع الرموز على الفم
😈,Smiling Face With Horns,الوجه المبتسم مع الأبواق
👿,Angry Face With Horns,وجه غاضب مع الأبواق
💀,Skull,جمجمة
☠,Skull and Crossbones,جمجمة وعظمتين متقاطعتين
💩,Pile of Poo,كومة من بو
🤡,Clown Face,وجه مهرج
👹,Ogre,غول
👺,Goblin,عفريت
👻,Ghost,شبح
👽,Alien,كائن فضائي
👾,Alien Monster,الغريبة الوحش
🤖,Robot Face,الروبوت الوجه
😺,Grinning Cat Face,مبتسما القط الوجه
😸,Grinning Cat Face With Smiling Eyes,مبتسما القط الوجه المبتسم مع عيون
😹,Cat Face With Tears of Joy,الوجه القط مع دموع الفرح
😻,Smiling Cat Face With Heart-Eyes,الوجه المبتسم القط مع قلب عيون
😼,Cat Face With Wry Smile,الوجه القط مع ابتسامة ساخرة
😽,Kissing Cat Face,تقبيل القط الوجه
🙀,Weary Cat Face,بالضجر وجه القط
😿,Crying Cat Face,بكاء القط الوجه
😾,Pouting Cat Face,العبوس القط الوجه
💋,Kiss Mark,علامة قبلة
👋,Waving Hand,التلويح باليد
🤚,Raised Back of Hand,رفع الجزء الخلفي من اليد
🖐,Hand With Fingers Splayed,اليد مع الأصابع مفلطحة
✋,Raised Hand,اليد التي أثيرت
🖖,Vulcan Salute,فولكان تحية
👌,OK Hand,موافق اليد
✌,Victory Hand,فوز اليد
🤞,Crossed Fingers,تمنيت
🤟,Love-You Gesture,الحب وأنت لفتة
🤘,Sign of the Horns,علامة من الأبواق
🤙,Call Me Hand,اتصل بي اليد
👈,Backhand Index Pointing Left,مؤشر خلفية مشيرا اليسار
👉,Backhand Index Pointing Right,مؤشر خلفية مشيرا اليمين
👆,Backhand Index Pointing Up,مؤشر خلفية إلى الارتفاع
🖕,Middle Finger,الاصبع الوسطى
👇,Backhand Index Pointing Down,مؤشر خلفية مشيرا إلى أسفل
☝,Index Pointing Up,مؤشر إلى الارتفاع
👍,Thumbs Up,ممتاز
👎,Thumbs Down,استهجن
✊,Raised Fist,رفع قبضة
👊,Oncoming Fist,القبضة قدوم
🤛,Left-Facing Fist,اليسار مواجهة القبضة
🤜,Right-Facing Fist,بزر الماوس الأيمن مواجهة القبضة
👏,Clapping Hands,التصفيق
🙌,Raising Hands,رفع الأيدي
👐,Open Hands,الأيدي المفتوحة
🤲,Palms Up Together,النخيل معا
🤝,Handshake,مصافحة
🙏,Folded Hands,الأيدي مطوية
✍,Writing Hand,كتابة اليد
💅,Nail Polish,طلاء الأظافر
🤳,Selfie,صورة شخصية
💪,Flexed Biceps,استعرضوا العضلة ذات الرأسين
🦵,Leg,رجل
🦶,Foot,قدم
👂,Ear,إذن
👃,Nose,أنف
🧠,Brain,دماغ
🦷,Tooth,سن
🦴,Bone,عظم
👀,Eyes,عيون
👁,Eye,عين
👅,Tongue,لسان
👄,Mouth,فم
👶,Baby,طفل
🧒,Child,طفل
👦,Boy,صبي
👧,Girl,فتاة
🧑,Person,شخص
👱,Person: Blond Hair,الشخص: أشقر الشعر
👨,Man,رجل
🧔,Man: Beard,الرجل: لحية
👱‍♂️,Man: Blond Hair,الرجل: أشقر الشعر
👨‍🦰,Man: Red Hair,الرجل: الشعر الأحمر
👨‍🦱,Man: Curly Hair,الرجل: الشعر مجعد
👨‍🦳,Man: White Hair,الرجل: أبيض الشعر
👨‍🦲,Man: Bald,الرجل: أصلع
👩,Woman,النساء
👱‍♀️,Woman: Blond Hair,امرأة: أشقر الشعر
👩‍🦰,Woman: Red Hair,المرأة: الشعر الأحمر
👩‍🦱,Woman: Curly Hair,المرأة: الشعر مجعد
👩‍🦳,Woman: White Hair,المرأة: الشعر الأبيض
👩‍🦲,Woman: Bald,امرأة: اصلع
🧓,Older Person,كبار السن
👴,Old Man,عجوز
👵,Old Woman,امرأة كبيرة بالسن
🙍,Person Frowning,الشخص مقطب
🙍‍♂️,Man Frowning,رجل مقطب
🙍‍♀️,Woman Frowning,امرأة مقطب
🙎,Person Pouting,الشخص العبوس
🙎‍♂️,Man Pouting,الرجل العبوس
🙎‍♀️,Woman Pouting,امرأة العبوس
🙅,Person Gesturing No,شخص مشيرا بيديه لا
🙅‍♂️,Man Gesturing No,رجل ومشيرا بيديه لا
🙅‍♀️,Woman Gesturing No,امرأة مشيرا بيديه لا
🙆,Person Gesturing OK,شخص مشيرا بيديه OK
🙆‍♂️,Man Gesturing OK,رجل ومشيرا بيديه OK
🙆‍♀️,Woman Gesturing OK,امرأة مشيرا بيديه OK
💁,Person Tipping Hand,شخص البقشيش اليد
💁‍♂️,Man Tipping Hand,رجل البقشيش اليد
💁‍♀️,Woman Tipping Hand,امرأة البقشيش اليد
🙋,Person Raising Hand,شخص رفع اليد
🙋‍♂️,Man Raising Hand,رجل رفع اليد
🙋‍♀️,Woman Raising Hand,امرأة رفع اليد
🙇,Person Bowing,شخص إنحناء
🙇‍♂️,Man Bowing,رجل إنحناء
🙇‍♀️,Woman Bowing,امرأة إنحناء
🤦,Person Facepalming,شخص Facepalming
🤦‍♂️,Man Facepalming,رجل Facepalming
🤦‍♀️,Woman Facepalming,امرأة Facepalming
🤷,Person Shrugging,شخص الإستهجان
🤷‍♂️,Man Shrugging,رجل الإستهجان
🤷‍♀️,Woman Shrugging,امرأة الإستهجان
👨‍⚕️,Man Health Worker,رجل العاملين الصحيين
👩‍⚕️,Woman Health Worker,امرأة العاملين الصحيين
👨‍🎓,Man Student,رجل الطلاب
👩‍🎓,Woman Student,امرأة الطلاب
👨‍🏫,Man Teacher,الرجل المعلم
👩‍🏫,Woman Teacher,معلمة
👨‍⚖️,Man Judge,رجل القاضي
👩‍⚖️,Woman Judge,امرأة القاضي
👨‍🌾,Man Farmer,رجل المزارعين
👩‍🌾,Woman Farmer,امرأة المزارعين
👨‍🍳,Man Cook,رجل كوك
👩‍🍳,Woman Cook,امرأة كوك
👨‍🔧,Man Mechanic,رجل ميكانيكي
👩‍🔧,Woman Mechanic,امرأة ميكانيكي
👨‍🏭,Man Factory Worker,رجل مصنع العمال
👩‍🏭,Woman Factory Worker,امرأة مصنع العمال
👨‍💼,Man Office Worker,رجل مكتب العمال
👩‍💼,Woman Office Worker,امرأة مكتب العمال
👨‍🔬,Man Scientist,رجل عالم
👩‍🔬,Woman Scientist,امرأة عالمة
👨‍💻,Man Technologist,رجل تقني
👩‍💻,Woman Technologist,امرأة تقني
👨‍🎤,Man Singer,رجل سنجر
👩‍🎤,Woman Singer,امرأة المغني
👨‍🎨,Man Artist,الرجل الفنان
👩‍🎨,Woman Artist,امرأة الفنان
👨‍✈️,Man Pilot,الرجل الطيار
👩‍✈️,Woman Pilot,امرأة الطيار
👨‍🚀,Man Astronaut,رجل رائد الفضاء
👩‍🚀,Woman Astronaut,امرأة رائد الفضاء
👨‍🚒,Man Firefighter,رجل الاطفاء
👩‍🚒,Woman Firefighter,امرأة رجال الاطفاء
👮,Police Officer,ضابط شرطة
👮‍♂️,Man Police Officer,ضابط شرطة رجل
👮‍♀️,Woman Police Officer,ضابط شرطة امرأة
🕵,Detective,المحقق
🕵️‍♂️,Man Detective,رجل المباحث
🕵️‍♀️,Woman Detective,امرأة المخبر
💂,Guard,حارس
💂‍♂️,Man Guard,الحرس رجل
💂‍♀️,Woman Guard,الحرس امرأة
👷,Construction Worker,عامل بناء
👷‍♂️,Man Construction Worker,رجل عمال البناء
👷‍♀️,Woman Construction Worker,امرأة عمال البناء
🤴,Prince,أمير
👸,Princess,أميرة
👳,Person Wearing Turban,شخص يرتدي العمامة
👳‍♂️,Man Wearing Turban,رجل يرتدي العمامة
👳‍♀️,Woman Wearing Turban,امرأة العمامة يرتدي
👲,Man With Chinese Cap,رجل مع كاب الصيني
🧕,Woman With Headscarf,امرأة مع الحجاب
🤵,Man in Tuxedo,رجل في سهرة
👰,Bride With Veil,العروس مع الحجاب
🤰,Pregnant Woman,المرأة الحامل
🤱,Breast-Feeding,الرضاعة الطبيعية
👼,Baby Angel,الطفل الملاك
🎅,Santa Claus,بابا نويل
🤶,Mrs. Claus,السيدة كلوز
🦸,Superhero,خارقة
🦸‍♂️,Man Superhero,رجل خارقة
🦸‍♀️,Woman Superhero,امرأة خارقة
🦹,Supervillain,سوبرفيلين
🦹‍♂️,Man Supervillain,رجل سوبرفيلين
🦹‍♀️,Woman Supervillain,امرأة سوبرفيلين
🧙,Mage,بركه
🧙‍♂️,Man Mage,رجل ماجى
🧙‍♀️,Woman Mage,امرأة ماجى
🧚,Fairy,جنية
🧚‍♂️,Man Fairy,رجل الجنية
🧚‍♀️,Woman Fairy,امرأة الجنية
🧛,Vampire,رعب
🧛‍♂️,Man Vampire,رجل مصاص الدماء
🧛‍♀️,Woman Vampire,امرأة مصاص دماء
🧜,Merperson,Merperson
🧜‍♂️,Merman,حورية
🧜‍♀️,Mermaid,حورية البحر
🧝,Elf,قزم
🧝‍♂️,Man Elf,رجل العفريت
🧝‍♀️,Woman Elf,امرأة العفريت
🧞,Genie,الجني
🧞‍♂️,Man Genie,رجل الجني
🧞‍♀️,Woman Genie,امرأة الجني
🧟,Zombie,الاموات الاحياء
🧟‍♂️,Man Zombie,الرجل الكسول
🧟‍♀️,Woman Zombie,المرأة الكسول
💆,Person Getting Massage,شخص تدليك للوصول إلى
💆‍♂️,Man Getting Massage,رجل تدليك للوصول إلى
💆‍♀️,Woman Getting Massage,امرأة تدليك للوصول إلى
💇,Person Getting Haircut,شخص حلاقة الحصول على
💇‍♂️,Man Getting Haircut,رجل قص شعر للوصول إلى
💇‍♀️,Woman Getting Haircut,امرأة حلاقة الحصول على
🚶,Person Walking,شخص المشي
🚶‍♂️,Man Walking,الرجل المشي
🚶‍♀️,Woman Walking,امرأة المشي
🏃,Person Running,شخص الجري
🏃‍♂️,Man Running,رجل الجري
🏃‍♀️,Woman Running,امرأة الجري
💃,Woman Dancing,امرأة الرقص
🕺,Man Dancing,رجل الرقص
🕴,Man in Suit Levitating,رجل في الرفع البدلة
👯,People With Bunny Ears,الناس مع آذان الأرنب
👯‍♂️,Men With Bunny Ears,الرجال مع آذان الأرنب
👯‍♀️,Women With Bunny Ears,نساء مع آذان الأرنب
🧖,Person in Steamy Room,شخص في غرفة مشبع بالبخار
🧖‍♂️,Man in Steamy Room,رجل في غرفة مشبع بالبخار
🧖‍♀️,Woman in Steamy Room,امرأة في غرفة مشبع بالبخار
🧘,Person in Lotus Position,شخص في Lotus الوظيفة
👭,Women Holding Hands,المرأة يدا بيد
👫,Woman and Man Holding Hands,المرأة والرجل يدا بيد
👬,Men Holding Hands,الرجال يدا بيد
💏,Kiss,قبلة
👨‍❤️‍💋‍👨,"Kiss: Man, Man",قبلة: رجل، رجل
👩‍❤️‍💋‍👩,"Kiss: Woman, Woman",قبلة: امرأة، امرأة
💑,Couple With Heart,زوجين مع القلب
👨‍❤️‍👨,"Couple With Heart: Man, Man",زوجين مع القلب: رجل، رجل
👩‍❤️‍👩,"Couple With Heart: Woman, Woman",زوجين مع القلب: المرأة، المرأة
👪,Family,عائلة
👨‍👩‍👦,"Family: Man, Woman, Boy",الأسرة: رجل، امرأة، فتى
👨‍👩‍👧,"Family: Man, Woman, Girl",الأسرة: رجل، امرأة، فتاة
👨‍👩‍👧‍👦,"Family: Man, Woman, Girl, Boy",الأسرة: رجل، امرأة، فتاة، فتى
👨‍👩‍👦‍👦,"Family: Man, Woman, Boy, Boy",الأسرة: رجل، امرأة، فتى، فتى
👨‍👩‍👧‍👧,"Family: Man, Woman, Girl, Girl",الأسرة: رجل، امرأة، فتاة، فتاة
👨‍👨‍👦,"Family: Man, Man, Boy",الأسرة: الرجل، الرجل، فتى
👨‍👨‍👧,"Family: Man, Man, Girl",الأسرة: الرجل، الرجل، الفتاة
👨‍👨‍👧‍👦,"Family: Man, Man, Girl, Boy",الأسرة: الرجل، الرجل، الفتاة، بوي
👨‍👨‍👦‍👦,"Family: Man, Man, Boy, Boy",الأسرة: الرجل، الرجل، فتى، فتى
👨‍👨‍👧‍👧,"Family: Man, Man, Girl, Girl",الأسرة: الرجل، الرجل، الفتاة، فتاة
👩‍👩‍👦,"Family: Woman, Woman, Boy",الأسرة: امرأة، امرأة، فتى
👩‍👩‍👧,"Family: Woman, Woman, Girl",الأسرة: امرأة، امرأة، فتاة
👩‍👩‍👧‍👦,"Family: Woman, Woman, Girl, Boy",الأسرة: امرأة، امرأة، فتاة، فتى
👩‍👩‍👦‍👦,"Family: Woman, Woman, Boy, Boy",الأسرة: امرأة، امرأة، فتى، فتى
👩‍👩‍👧‍👧,"Family: Woman, Woman, Girl, Girl",الأسرة: امرأة، امرأة، فتاة، فتاة
👨‍👦,"Family: Man, Boy",الأسرة: رجل، فتى
👨‍👦‍👦,"Family: Man, Boy, Boy",الأسرة: رجل، فتى، فتى
👨‍👧,"Family: Man, Girl",الأسرة: رجل، فتاة
👨‍👧‍👦,"Family: Man, Girl, Boy",الأسرة: رجل، فتاة، فتى
👨‍👧‍👧,"Family: Man, Girl, Girl",الأسرة: رجل، فتاة، فتاة
👩‍👦,"Family: Woman, Boy",الأسرة: امرأة، فتى
👩‍👦‍👦,"Family: Woman, Boy, Boy",الأسرة: امرأة، فتى، فتى
👩‍👧,"Family: Woman, Girl",الأسرة: امرأة، فتاة
👩‍👧‍👦,"Family: Woman, Girl, Boy",الأسرة: امرأة، فتاة، فتى
👩‍👧‍👧,"Family: Woman, Girl, Girl",الأسرة: امرأة، فتاة، فتاة
🗣,Speaking Head,وتحدث رئيس
👤,Bust in Silhouette,تمثال نصفي في صورة ظلية
👥,Busts in Silhouette,تماثيل نصفية في صورة ظلية
👣,Footprints,اثار الاقدام
🧳,Luggage,أمتعة
🌂,Closed Umbrella,مغلقة مظلة
☂,Umbrella,مظلة
🧵,Thread,خيط
🧶,Yarn,غزل
👓,Glasses,نظارات
🕶,Sunglasses,نظارات شمسيه
🥽,Goggles,نظارات واقية
🥼,Lab Coat,معطف المختبر
👔,Necktie,ربطة عنق
👕,T-Shirt,تي شيرت
👖,Jeans,جينز
🧣,Scarf,وشاح
🧤,Gloves,قفازات
🧥,Coat,معطف
🧦,Socks,جوارب
👗,Dress,فستان
👘,Kimono,ثوب واسع فضفاض
👙,Bikini,بيكيني
👚,Woman’s Clothes,الملابس المرأة
